pair_idx,seq_idx_1,seq_idx_2,hamming_distance,bin_idx,n_mutations,max_distance_from_natural,start_distance,end_distance,protein_1,protein_2,overlap
0,76,257,238.0,0,238,0.19845825495871672,0.017676212971764294,0.012176558320731515,PF00004,PF00041,12
1,47,284,244.0,0,244,0.22939662591173066,0.023156912629184588,0.002307805285497353,PF00004,PF00041,12
2,43,70,246.0,0,246,0.2597262028673186,0.007246423315723076,0.005247865592785931,PF00004,PF00041,12
3,219,293,246.0,0,246,0.29044036921681904,0.008846519397816915,0.003890305442676216,PF00004,PF00041,12
4,101,180,249.0,0,249,0.2366856273226954,0.006489200807515559,0.05458583324645808,PF00004,PF00041,12
5,43,77,249.0,0,249,0.229518540426696,0.007246423315723076,0.014275624246433298,PF00004,PF00041,12
6,245,248,250.0,0,250,0.2214327288088154,0.007483280636737897,0.01110275422238053,PF00004,PF00041,12
7,143,270,253.0,1,253,0.23208175957900157,0.0041756546091036555,0.004477463115457462,PF00004,PF00041,12
8,85,227,259.0,1,259,0.265705417213097,0.0017827813190879633,0.002300444371810918,PF00004,PF00041,12
9,116,261,259.0,1,259,0.23085761893236204,0.01130056124438721,0.0070516021707461365,PF00004,PF00041,12
10,102,163,260.0,1,260,0.2233684341286381,0.004015043666830138,0.011688835643907176,PF00004,PF00041,12
11,29,276,261.0,1,261,0.32485028813081246,0.0035284356150157396,0.0030909058574832824,PF00004,PF00041,12
12,173,179,262.0,1,262,0.25774398379425895,0.006992273006691609,0.0048892774673658995,PF00004,PF00041,12
13,63,219,262.0,1,262,0.23073761470671925,0.00636135087442298,0.008846519397816915,PF00004,PF00041,12
14,13,106,262.0,1,262,0.38511048326154346,0.007210033778846873,0.005472995552398622,PF00004,PF00041,12
15,198,199,262.0,1,262,0.2817341995503755,0.012600181798365102,0.008066823947614467,PF00004,PF00041,12
16,58,287,263.0,1,263,0.27586835256276887,0.0008482468679858621,0.0032445349013334986,PF00004,PF00041,12
17,152,219,267.0,2,267,0.25941819884994377,0.009798245381683546,0.008846519397816915,PF00004,PF00041,12
18,101,105,267.0,2,267,0.1892613287034939,0.006489200807515559,0.005207875677252426,PF00004,PF00041,12
19,132,140,270.0,2,270,0.24060888146858367,0.009303258929291347,0.007646321635581876,PF00004,PF00041,12
20,192,254,271.0,2,271,0.22274461739327353,0.006356230923506141,0.0073814618937721056,PF00004,PF00041,12
21,32,228,272.0,2,272,0.37592424129108215,0.005036475007980696,0.0026838252043688716,PF00004,PF00041,12
22,25,26,274.0,2,274,0.2597201754089274,0.008149446515188941,0.0027877645401262596,PF00004,PF00041,12
23,151,181,274.0,2,274,0.25741605599604755,0.00465300201942624,0.018009753689366834,PF00004,PF00041,12
24,43,73,274.0,2,274,0.2075353204284173,0.007246423315723076,0.010790802066643823,PF00004,PF00041,12
25,1,288,276.0,2,276,0.543394658112594,0.005446085809113378,0.010006210617091648,PF00004,PF00041,12
26,261,264,276.0,2,276,0.7080563950409663,0.0070516021707461365,0.013986271245383443,PF00004,PF00041,12
27,89,275,278.0,3,278,0.2786223750001309,0.01657873716008495,0.007523008254836735,PF00004,PF00041,12
28,250,257,282.0,3,282,0.3243016570361289,0.020832895367936755,0.012176558320731515,PF00004,PF00041,12
29,76,281,282.0,3,282,0.30142731335193407,0.017676212971764294,0.015207980519467004,PF00004,PF00041,12
30,62,121,283.0,3,283,0.29658683232795124,0.0022054327614121675,0.007415606106793679,PF00004,PF00041,12
31,187,246,283.0,3,283,0.38812047670723726,0.002357995116622359,0.004128588755807967,PF00004,PF00041,12
32,140,210,284.0,3,284,0.2340133058732239,0.007646321635581876,0.01426418669655271,PF00004,PF00041,12
33,184,290,285.0,3,285,0.3015705816164137,0.00733259082313926,0.003950827638774504,PF00004,PF00041,12
34,79,131,286.0,3,286,0.26985258998739964,0.005641717944438518,0.0019355835945927904,PF00004,PF00041,12
35,9,87,289.0,3,289,0.34209691690631083,0.0031083686157734785,0.008021002470408656,PF00004,PF00041,12
36,51,148,289.0,3,289,0.25646196378882946,0.008003672625301318,0.00434999330213869,PF00004,PF00041,12
37,142,151,290.0,4,290,0.44123278859198306,0.008832735812231218,0.00465300201942624,PF00004,PF00041,12
38,274,293,292.0,4,292,0.4755703980579931,0.008825846244776527,0.003890305442676216,PF00004,PF00041,12
39,3,187,293.0,4,293,0.3206623787485944,0.016420676065720258,0.002357995116622359,PF00004,PF00041,12
40,102,250,293.0,4,293,0.3277876661655491,0.004015043666830138,0.020832895367936755,PF00004,PF00041,12
41,87,157,295.0,4,295,0.3251275035445701,0.008021002470408656,0.008417118449662432,PF00004,PF00041,12
42,179,297,296.0,4,296,0.2664281605923964,0.0048892774673658995,0.005363980686549922,PF00004,PF00041,12
43,105,211,296.0,4,296,0.2749560356446044,0.005207875677252426,0.01367512264557584,PF00004,PF00041,12
44,84,125,298.0,4,298,0.3596806180724306,0.005282112557029071,0.0044211746653830255,PF00004,PF00041,12
45,38,233,299.0,4,299,0.4407245609034306,0.013732855431026689,0.010402783302959665,PF00004,PF00041,12
46,146,244,299.0,4,299,0.40601316173604335,0.006446870709628891,0.009866921586389977,PF00004,PF00041,12
47,109,225,302.0,5,302,0.5161440587276753,0.009962830748884786,0.0028540329470227773,PF00004,PF00041,12
48,19,106,302.0,5,302,0.3145762685316203,0.0016831679226898925,0.005472995552398622,PF00004,PF00041,12
49,272,282,304.0,5,304,0.2861383794982698,0.01645965834535172,0.003523360243296791,PF00004,PF00041,12
50,95,174,305.0,5,305,0.2768827815837388,0.002446522337738622,0.005901665384836833,PF00004,PF00041,12
51,153,208,308.0,5,308,0.4746184966644697,0.005438428858697041,0.006285041941486028,PF00004,PF00041,12
52,9,278,309.0,5,309,0.31051965279109905,0.0031083686157734785,0.006927352263997732,PF00004,PF00041,12
53,30,283,309.0,5,309,0.3755150480044849,0.017381384158783965,0.004411573076080207,PF00004,PF00041,12
54,122,178,310.0,5,310,0.7478207243648298,0.0026229833876904654,0.010489023086077508,PF00004,PF00041,12
55,32,279,311.0,5,311,0.4594727918712672,0.005036475007980696,0.0025191942713985176,PF00004,PF00041,12
56,276,286,312.0,5,312,0.3153284268617211,0.0030909058574832824,0.002201106897013576,PF00004,PF00041,12
57,149,244,315.0,6,315,0.46144023004397167,0.00874911335326806,0.009866921586389977,PF00004,PF00041,12
58,186,267,318.0,6,318,0.7485227943545392,0.006722424842256691,0.0020593422325346756,PF00004,PF00041,12
