PF1,PF2,Overlap,Reading_Frame,Mean_E1,Std_E1,Mean_E2,Std_E2,Nat_Mean1,Nat_Mean2,Nat_Std1,Nat_Std2,Dist_1,Dist_2,Min_Dist_1,Min_Dist_2,Iter_Converged_1,Iter_Converged_2
PF00004,PF00041,12,0,145.7844090910824,13.807217307721059,136.84037296907985,9.78817344119713,145.87937104727615,120.65601144257764,38.247866096571364,17.636853203436154,9.87235469312393,16.950845392983013,0.47081164309272977,0.27662097679603265,25375.0,13562.5
PF00004,PF00041,13,1,154.10413351401525,15.878470003194353,134.3121812019668,10.93644815024543,145.87937104727615,120.65601144257764,38.247866096571364,17.636853203436154,14.11968174674097,15.041881700048274,1.0450408113448972,0.34857050865546346,34812.5,13125.0
PF00004,PF00041,14,2,176.29890344886243,22.490456965099117,132.14853512151012,13.375851980399016,145.87937104727615,120.65601144257764,38.247866096571364,17.636853203436154,31.981479607174652,14.524938455572117,3.9306901585898713,0.423941790589453,37250.0,13750.0
PF00004,PF00041,18,0,162.5652777820829,22.156465223614322,137.36343447542535,9.304894634373367,145.87937104727615,120.65601144257764,38.247866096571364,17.636853203436154,22.371938533886855,17.28339913452958,2.944445904822822,0.5131693901901844,42500.0,14812.5
PF00004,PF00041,19,1,164.53690156634985,21.38787735428255,139.06428344184388,8.704714630760707,145.87937104727615,120.65601144257764,38.247866096571364,17.636853203436154,22.065520708754356,18.588056044518538,4.196833620059288,0.5929125862727542,42687.5,15125.0
PF00004,PF00041,20,2,151.6418079646014,16.542731068084734,138.26247744476586,10.76327083006944,145.87937104727615,120.65601144257764,38.247866096571364,17.636853203436154,13.171878883815925,18.255736020109147,0.34662593968298056,0.3088826713221682,39937.5,12437.5
PF00004,PF00041,24,0,150.8453733955722,16.35578003262232,133.78545935130882,10.200681593967115,145.87937104727615,120.65601144257764,38.247866096571364,17.636853203436154,12.279013987970146,14.587392415170275,0.7131489825126571,0.504881847246331,28125.0,13375.0
PF00004,PF00041,25,1,157.95114582950129,18.29888076210932,137.1487020515022,8.91034314615038,145.87937104727615,120.65601144257764,38.247866096571364,17.636853203436154,16.02310099578855,16.867130898165986,0.8155033576823747,0.773230659183216,38125.0,16500.0
PF00004,PF00041,26,2,146.32108677953244,15.799848871614303,132.8016975114777,10.535432461965275,145.87937104727615,120.65601144257764,38.247866096571364,17.636853203436154,13.233691715385262,13.46697826595252,0.26672877518242755,0.3618047924858736,43437.5,14000.0
PF00004,PF00041,30,0,154.48179612745898,19.707958998827888,138.11952779155837,9.80171165812159,145.87937104727615,120.65601144257764,38.247866096571364,17.636853203436154,16.441972738550493,17.826884689767873,0.3911498402489123,0.461645812179351,39375.0,13500.0
