,PF1,PF2,Overlap,Reading_Frame,Mean_E1,Std_E1,Mean_E2,Std_E2,Nat_Mean1,Nat_Mean2,Nat_Std1,Nat_Std2,Dist_1,Dist_2,Min_Dist_1,Min_Dist_2,Iter_Converged_1,Iter_Converged_2
0,PF00041,PF00096,12,0,132.8000188457588,9.757913551998987,17.793207663165266,3.0732485988154075,120.65601144257766,16.436232766230635,17.636853203436154,5.230388282054999,0.7327340054682641,0.5279809886141031,0.01677212578371089,0.00846814053398785,9600.0,10550.0
1,PF00041,PF00096,18,0,136.32986858645134,9.441719630201037,29.948468295450283,4.086157109155603,120.65601144257766,16.436232766230635,17.636853203436154,5.230388282054999,0.9295419701957498,2.5834096439032908,0.02661401127531008,0.9453581344337876,11225.0,181875.0
2,PF00041,PF00096,24,0,131.73688260879197,10.001529237040627,13.972986914999844,3.3560327621645274,120.65601144257766,16.436232766230635,17.636853203436154,5.230388282054999,0.7130250747733592,0.6712879448494601,0.012845964564763257,0.010969411347814968,8875.0,10600.0
3,PF00041,PF00096,30,0,138.76956366645356,9.695705201841987,15.75115296961004,3.488767032469523,120.65601144257766,16.436232766230635,17.636853203436154,5.230388282054999,1.0476930160381377,0.5629820777081731,0.03836896481264954,0.01021514100241594,9625.0,16200.0
4,PF00041,PF00096,36,0,137.63853031572083,10.224015398899844,14.801112636300292,4.107253274844987,120.65601144257766,16.436232766230635,17.636853203436154,5.230388282054999,0.9853157650182633,0.6846872653934839,0.03357134074257506,0.008958021259504624,11125.0,11725.0
5,PF00041,PF00096,42,0,138.31728964221548,10.351532400332017,13.355722686788907,4.0550555811639235,120.65601144257766,16.436232766230635,17.636853203436154,5.230388282054999,1.0208630417636422,0.8181509928664482,0.029077029800384263,0.015960036563360067,10775.0,10850.0
6,PF00041,PF00096,48,0,139.3423261013707,8.608944541096909,16.42468212051849,4.17784407111772,120.65601144257766,16.436232766230635,17.636853203436154,5.230388282054999,1.060598087314157,0.6265549082548472,0.06558393539013718,0.010014028789131976,10300.0,11250.0
7,PF00041,PF00096,54,0,138.02945593728762,10.43327678612865,20.696693309679663,6.657628995992283,120.65601144257766,16.436232766230635,17.636853203436154,5.230388282054999,1.0171566803564096,1.0046369687791756,0.03518283248339117,0.30579518944709333,11650.0,75675.0
8,PF00041,PF00096,60,0,140.3151793253223,9.016529289001896,20.106221649246255,3.6712450952122833,120.65601144257766,16.436232766230635,17.636853203436154,5.230388282054999,1.1218844985516017,0.7964368528534607,0.04800441129206145,0.012696907093536878,11350.0,11575.0
9,PF00004,PF00096,12,0,156.37482663430873,16.17271774658626,17.588351471924174,3.357015904871412,145.87937104727615,16.436232766230635,38.247866096571364,5.230388282054999,0.3671081908243552,0.5321510145773902,0.01466223724378515,0.010408715799799219,27025.0,18475.0
