,PF1,PF2,Overlap,Mean_E1,Std_E1,Mean_E2,Std_E2,Nat_Mean1,Nat_Mean2,Dist_1,Dist_2
0,PF00004,PF00041,12,144.64596478942326,19.22455433171675,131.7391999988644,6.900393999529197,145.87937104727615,120.65601144257766,1.2334062578528915,11.083188556286728
1,PF00004,PF00041,15,168.85011974063255,21.23852530438355,132.6456833183088,13.080460126876828,145.87937104727615,120.65601144257766,22.9707486933564,11.989671875731148
2,PF00004,PF00041,18,157.6568120415756,24.698373757597437,137.00013766844665,9.551117949061567,145.87937104727615,120.65601144257766,11.77744099429944,16.34412622586899
3,PF00004,PF00041,21,145.9304577044397,9.769916768208159,132.97819542175884,12.600368148016567,145.87937104727615,120.65601144257766,0.05108665716355176,12.322183979181176
4,PF00004,PF00041,24,145.58869984385973,14.94845470620742,135.37265567501282,9.926355204435874,145.87937104727615,120.65601144257766,0.29067120341642294,14.716644232435158
5,PF00004,PF00041,27,166.5183149585404,20.267498533488247,144.1137683741514,9.223449040094044,145.87937104727615,120.65601144257766,20.63894391126425,23.457756931573726
6,PF00004,PF00041,30,155.8809803802162,15.170008909170368,137.71594245984852,7.194031760182575,145.87937104727615,120.65601144257766,10.001609332940035,17.059931017270856
7,PF00004,PF00041,33,165.77015484535664,21.448973113912803,139.15531091257134,11.541884556030691,145.87937104727615,120.65601144257766,19.89078379808049,18.499299469993673
8,PF00004,PF00041,36,157.59777869793896,17.966340307707625,135.9152892662578,9.519025887003671,145.87937104727615,120.65601144257766,11.718407650662812,15.259277823680122
9,PF00004,PF00041,39,158.158810201324,18.633368209653153,139.43463294145806,9.193315448374666,145.87937104727615,120.65601144257766,12.27943915404785,18.778621498880398
10,PF00004,PF00041,42,162.5342073322625,18.193723229728484,139.66584008388617,8.95658036377432,145.87937104727615,120.65601144257766,16.654836284986345,19.009828641308502
11,PF00004,PF00041,45,152.90133557016165,21.277012993625867,137.5932453472335,9.445022336699648,145.87937104727615,120.65601144257766,7.021964522885497,16.93723390465584
12,PF00004,PF00041,48,177.59759083171588,24.34249001151606,140.7288992520992,9.765014719732587,145.87937104727615,120.65601144257766,31.718219784439725,20.072887809521546
13,PF00004,PF00041,51,161.6964069668047,18.244779770030682,150.08339222963292,8.244705086565725,145.87937104727615,120.65601144257766,15.817035919528536,29.427380787055256
14,PF00004,PF00041,54,194.51548872428893,19.322151330597418,133.49320620038588,9.288465155505902,145.87937104727615,120.65601144257766,48.63611767701278,12.83719475780822
15,PF00004,PF00041,57,161.12754477415143,18.04451320521513,148.4433217179603,12.215878214745624,145.87937104727615,120.65601144257766,15.24817372687528,27.787310275382623
16,PF00004,PF00041,60,154.25219500729568,23.140946617253835,135.19347946252415,13.403078140075902,145.87937104727615,120.65601144257766,8.37282396001953,14.537468019946488
